Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Christopher Street,"123,653","4,874","2,552","1,850","1,852","3,989","102,346","10,206","7,398","3,703",1,2018
9thStreet,"117,786","4,332","3,156","2,496","2,100","3,800","90,976","12,626","9,984","4,200",1,2018
14thStreet,"222,295","8,611","4,704","3,536","4,251","7,171","180,835","18,815","14,143","8,502",1,2018
23rdStreet,"230,031","9,670","2,995","2,133","3,220","7,420","203,079","11,980","8,532","6,440",1,2018
33rdStreet,"820,412","32,966","14,134","10,198","15,402","26,465","692,280","56,538","40,791","30,803",1,2018
UPTOWN SUBTOTAL,"1,514,177","60,453","27,541","20,213","26,825","48,844","1,269,516","110,165","80,848","53,648",1,2018
WTC,"1,399,721","59,078","17,211","13,178","18,762","45,152","1,240,642","68,845","52,711","37,523",1,2018
NEW YORK SUBTOTAL,"2,913,898","119,531","44,752","33,391","45,587","93,997","2,510,158","179,010","133,559","91,171",1,2018
Newark,"706,467","29,577","9,745","6,605","9,980","22,789","621,107","38,980","26,421","19,959",1,2018
Harrison,"193,969","8,116","2,794","1,794","2,588","6,257","170,445","11,174","7,175","5,175",1,2018
Journal Square,"627,460","24,813","12,426","8,618","11,106","20,241","521,073","49,702","34,474","22,211",1,2018
Grove Street,"495,241","19,837","9,586","6,431","7,297","15,976","416,578","38,345","25,724","14,594",1,2018
Exchange Place,"398,153","17,193","4,181","2,839","4,508","12,844","361,058","16,723","11,357","9,015",1,2018
Pavonia/ Newport,"442,453","18,364","6,557","4,730","5,832","14,273","385,639","26,228","18,921","11,665",1,2018
Hoboken,"696,688","29,183","10,624","6,176","8,320","22,474","612,844","42,498","24,706","16,640",1,2018
NEW JERSEY SUBTOTAL,"3,560,431","147,083","55,913","37,193","49,631","114,853","3,088,744","223,650","148,778","99,259",1,2018
Christopher Street,"117,458","5,141","2,503","1,869","2,298","4,195","97,672","10,012","7,476","2,298",2,2018
9thStreet,"124,214","5,121","3,382","2,596","2,998","4,436","97,301","13,529","10,386","2,998",2,2018
14thStreet,"213,228","9,130","5,000","3,758","4,717","7,615","173,478","20,000","15,033","4,717",2,2018
23rdStreet,"220,962","10,263","3,222","2,355","3,658","7,892","194,998","12,887","9,419","3,658",2,2018
33rdStreet,"762,343","33,928","13,949","11,375","16,422","27,227","644,623","55,797","45,501","16,422",2,2018
UPTOWN SUBTOTAL,"1,438,205","63,583","28,056","21,953","30,093","51,364","1,208,072","112,225","87,815","30,093",2,2018
WTC,"1,316,065","61,601","17,692","13,347","21,488","47,002","1,170,423","70,766","53,388","21,488",2,2018
NEW YORK SUBTOTAL,"2,754,270","125,184","45,748","35,300","51,581","98,367","2,378,495","182,991","141,203","51,581",2,2018
Newark,"669,678","31,012","9,616","7,290","12,828","23,917","589,225","38,463","29,162","12,828",2,2018
Harrison,"185,094","8,610","2,722","1,771","3,523","6,611","163,599","10,888","7,084","3,523",2,2018
Journal Square,"606,739","26,621","12,702","8,944","14,351","21,669","505,802","50,809","35,777","14,351",2,2018
