Station,MonthTotal,AvgWeekday,AvgSaturday,AvgSunday,AvgHoliday,AvgDailyTotal,TotalWeekdayCount,TotalSaturdayCount,TotalSundayCount,TotalHolidayCount,Month,Year
Christopher Street,"129,569","4,852","3,398","2,660","1,722","4,180","101,893","13,591","10,640","3,445",1,2019
9thStreet,"125,073","4,311","4,198","3,435","2,007","4,035","90,525","16,794","13,740","4,014",1,2019
14thStreet,"231,115","8,714","5,780","4,520","3,455","7,455","183,002","23,121","18,082","6,910",1,2019
23rdStreet,"217,469","9,028","3,158","2,476","2,670","7,015","189,591","12,633","9,906","5,339",1,2019
33rdStreet,"835,979","33,022","15,785","12,621","14,442","26,967","693,470","63,139","50,485","28,885",1,2019
UPTOWN SUBTOTAL,"1,539,205","59,927","32,319","25,712","24,296","49,652","1,258,481","129,278","102,853","48,593",1,2019
WTC,"1,374,872","62,753","3,073","2,173","18,042","44,351","1,317,804","12,292","8,692","36,084",1,2019
NEW YORK SUBTOTAL,"2,914,077","122,680","35,392","27,885","42,338","94,002","2,576,285","141,570","111,545","84,677",1,2019
Newark,"676,165","29,076","7,199","5,074","8,238","21,812","610,597","28,797","20,295","16,476",1,2019
Harrison,"203,382","8,691","2,287","1,650","2,565","6,561","182,502","9,148","6,602","5,130",1,2019
Journal Square,"626,190","25,066","11,442","8,337","10,349","20,200","526,376","45,767","33,349","20,698",1,2019
Grove Street,"511,577","20,804","8,959","6,250","6,934","16,502","436,874","35,837","24,998","13,868",1,2019
Exchange Place,"413,756","18,137","3,446","2,574","4,402","13,347","380,871","13,784","10,296","8,805",1,2019
Pavonia/ Newport,"444,452","18,577","6,360","4,657","5,135","14,337","390,114","25,440","18,628","10,270",1,2019
Hoboken,"690,290","29,303","9,264","5,942","7,055","22,267","615,356","37,058","23,766","14,110",1,2019
NEW JERSEY SUBTOTAL,"3,565,812","149,654","48,957","34,484","44,678","115,026","3,142,690","195,831","137,934","89,357",1,2019
Christopher Street,"122,290","4,943","3,719","2,813","2,236","4,368","93,925","14,876","11,253","2,236",2,2019
9thStreet,"134,594","5,039","4,936","4,033","2,973","4,807","95,745","19,743","16,133","2,973",2,2019
14thStreet,"214,149","8,909","5,775","4,412","4,127","7,648","169,276","23,099","17,647","4,127",2,2019
23rdStreet,"212,711","9,559","3,856","2,938","3,920","7,597","181,616","15,425","11,750","3,920",2,2019
33rdStreet,"765,956","33,153","17,048","13,015","15,800","27,356","629,905","68,192","52,059","15,800",2,2019
UPTOWN SUBTOTAL,"1,449,700","61,603","35,334","27,211","29,056","51,775","1,170,467","141,335","108,842","29,056",2,2019
WTC,"1,267,807","63,457","5,554","4,742","20,933","45,279","1,205,692","22,216","18,966","20,933",2,2019
NEW YORK SUBTOTAL,"2,717,507","125,060","40,888","31,953","49,989","97,054","2,376,159","163,551","127,808","49,989",2,2019
Newark,"634,333","29,958","7,554","5,643","12,336","22,655","569,211","30,215","22,571","12,336",2,2019
Harrison,"186,829","8,764","2,539","1,674","3,461","6,672","166,517","10,156","6,695","3,461",2,2019
