Hour,Avg Weekday Entry,Avg Saturday Entry,Avg Sunday Entry,Avg Weekday Exit,Avg Saturday Exit,Avg Sunday Exit,Avg Holiday Entries,Avg Holiday Exits,month,station
12:00:00 AM,50,209,218,15,40,38,95,21,1,Christopher St.
1:00:00 AM,23,186,139,12,26,32,133,19,1,Christopher St.
2:00:00 AM,12,104,89,9,19,13,80,20,1,Christopher St.
3:00:00 AM,6,48,64,8,9,13,50,10,1,Christopher St.
4:00:00 AM,4,40,31,9,16,12,25,9,1,Christopher St.
5:00:00 AM,4,26,21,20,19,16,11,8,1,Christopher St.
6:00:00 AM,28,32,19,189,67,29,8,35,1,Christopher St.
7:00:00 AM,83,23,16,426,67,36,12,64,1,Christopher St.
8:00:00 AM,204,31,19,"1,219",130,66,39,125,1,Christopher St.
9:00:00 AM,133,36,25,"1,263",192,117,25,122,1,Christopher St.
10:00:00 AM,60,61,41,351,230,168,25,98,1,Christopher St.
11:00:00 AM,60,71,65,159,285,293,38,127,1,Christopher St.
12:00:00 PM,72,109,107,124,366,281,50,132,1,Christopher St.
1:00:00 PM,84,127,121,107,330,306,61,137,1,Christopher St.
2:00:00 PM,133,166,173,112,334,280,92,166,1,Christopher St.
3:00:00 PM,266,227,194,124,302,237,111,143,1,Christopher St.
4:00:00 PM,470,263,232,157,285,179,162,84,1,Christopher St.
5:00:00 PM,"1,073",281,253,278,311,196,183,121,1,Christopher St.
6:00:00 PM,893,243,219,280,342,143,158,107,1,Christopher St.
7:00:00 PM,436,255,171,172,281,101,100,73,1,Christopher St.
8:00:00 PM,286,233,155,84,184,58,90,41,1,Christopher St.
9:00:00 PM,216,209,106,47,118,42,68,35,1,Christopher St.
10:00:00 PM,158,199,109,36,96,38,60,25,1,Christopher St.
11:00:00 PM,98,221,75,24,72,26,50,11,1,Christopher St.
12:00:00 AM,54,214,226,13,31,48,54,7,2,Christopher St.
1:00:00 AM,23,141,151,10,29,27,32,5,2,Christopher St.
2:00:00 AM,12,90,97,8,13,20,18,4,2,Christopher St.
3:00:00 AM,8,50,61,7,10,13,10,2,2,Christopher St.
4:00:00 AM,5,37,40,8,15,12,12,5,2,Christopher St.
5:00:00 AM,7,21,17,22,17,16,4,10,2,Christopher St.
6:00:00 AM,27,26,15,197,61,20,11,78,2,Christopher St.
7:00:00 AM,92,23,13,401,60,42,25,119,2,Christopher St.
8:00:00 AM,203,30,24,"1,244",130,72,46,245,2,Christopher St.
9:00:00 AM,136,46,30,"1,222",190,111,45,287,2,Christopher St.
10:00:00 AM,65,76,46,355,242,196,47,171,2,Christopher St.
11:00:00 AM,62,80,71,168,304,286,46,171,2,Christopher St.
12:00:00 PM,83,112,100,132,390,324,78,214,2,Christopher St.
1:00:00 PM,99,133,126,111,367,278,108,213,2,Christopher St.
2:00:00 PM,140,185,169,123,338,253,128,152,2,Christopher St.
3:00:00 PM,271,236,193,138,337,233,205,155,2,Christopher St.
4:00:00 PM,471,288,262,175,312,185,212,152,2,Christopher St.
5:00:00 PM,"1,042",324,275,283,348,218,342,206,2,Christopher St.
6:00:00 PM,875,320,232,298,377,162,242,170,2,Christopher St.
7:00:00 PM,442,300,178,182,276,96,189,103,2,Christopher St.
8:00:00 PM,297,257,158,98,235,67,139,58,2,Christopher St.
9:00:00 PM,240,231,128,61,129,59,102,30,2,Christopher St.
10:00:00 PM,169,250,118,37,115,108,84,18,2,Christopher St.
11:00:00 PM,119,254,87,25,82,59,57,14,2,Christopher St.
12:00:00 AM,55,245,235,13,39,53,0,0,3,Christopher St.
1:00:00 AM,27,156,146,13,26,33,0,0,3,Christopher St.
2:00:00 AM,14,85,81,8,16,14,0,0,3,Christopher St.
3:00:00 AM,7,53,73,8,8,19,0,0,3,Christopher St.
4:00:00 AM,6,31,52,10,9,13,0,0,3,Christopher St.
5:00:00 AM,7,18,23,23,20,21,0,0,3,Christopher St.
6:00:00 AM,23,21,9,195,60,26,0,0,3,Christopher St.
7:00:00 AM,89,25,19,398,68,36,0,0,3,Christopher St.
8:00:00 AM,198,38,22,"1,209",146,72,0,0,3,Christopher St.
9:00:00 AM,140,50,25,"1,249",210,114,0,0,3,Christopher St.
10:00:00 AM,69,71,57,381,282,199,0,0,3,Christopher St.
11:00:00 AM,64,88,66,186,379,285,0,0,3,Christopher St.
12:00:00 PM,82,116,99,146,489,285,0,0,3,Christopher St.
1:00:00 PM,98,147,130,123,438,265,0,0,3,Christopher St.
2:00:00 PM,142,202,157,131,449,251,0,0,3,Christopher St.
3:00:00 PM,282,256,193,134,411,232,0,0,3,Christopher St.
4:00:00 PM,477,331,238,181,393,180,0,0,3,Christopher St.
5:00:00 PM,"1,047",376,254,288,378,197,0,0,3,Christopher St.
6:00:00 PM,906,361,220,315,378,145,0,0,3,Christopher St.
7:00:00 PM,470,357,211,200,328,115,0,0,3,Christopher St.
8:00:00 PM,324,288,174,101,255,62,0,0,3,Christopher St.
9:00:00 PM,260,303,135,60,154,57,0,0,3,Christopher St.
10:00:00 PM,194,276,115,37,140,35,0,0,3,Christopher St.
11:00:00 PM,117,270,65,31,102,16,0,0,3,Christopher St.
12:00:00 AM,62,196,249,13,40,57,0,0,4,Christopher St.
1:00:00 AM,28,121,157,15,21,29,0,0,4,Christopher St.
2:00:00 AM,12,77,100,6,12,13,0,0,4,Christopher St.
3:00:00 AM,8,38,68,9,5,21,0,0,4,Christopher St.
4:00:00 AM,6,30,42,8,16,14,0,0,4,Christopher St.
5:00:00 AM,5,17,22,19,26,19,0,0,4,Christopher St.
6:00:00 AM,25,16,10,187,49,15,0,0,4,Christopher St.
7:00:00 AM,86,21,18,428,67,53,0,0,4,Christopher St.
8:00:00 AM,200,37,24,"1,210",157,79,0,0,4,Christopher St.
9:00:00 AM,142,56,26,"1,203",231,144,0,0,4,Christopher St.
10:00:00 AM,74,70,53,399,295,199,0,0,4,Christopher St.
11:00:00 AM,67,92,78,185,321,293,0,0,4,Christopher St.
12:00:00 PM,84,120,99,156,444,339,0,0,4,Christopher St.
1:00:00 PM,106,136,138,128,364,264,0,0,4,Christopher St.
2:00:00 PM,148,193,146,134,385,244,0,0,4,Christopher St.
3:00:00 PM,281,241,208,145,384,209,0,0,4,Christopher St.
4:00:00 PM,462,290,253,191,331,207,0,0,4,Christopher St.
5:00:00 PM,"1,068",349,269,296,340,184,0,0,4,Christopher St.
6:00:00 PM,902,344,249,312,364,158,0,0,4,Christopher St.
7:00:00 PM,476,371,223,179,310,127,0,0,4,Christopher St.
8:00:00 PM,332,361,198,101,216,90,0,0,4,Christopher St.
9:00:00 PM,260,329,140,61,171,65,0,0,4,Christopher St.
10:00:00 PM,188,320,116,36,152,32,0,0,4,Christopher St.
11:00:00 PM,129,283,78,24,100,32,0,0,4,Christopher St.
12:00:00 AM,60,233,269,16,51,120,79,26,5,Christopher St.
1:00:00 AM,29,135,151,11,30,38,54,11,5,Christopher St.
2:00:00 AM,13,92,98,8,16,10,27,21,5,Christopher St.
3:00:00 AM,8,63,61,6,10,10,14,2,5,Christopher St.
4:00:00 AM,7,32,32,8,13,9,15,5,5,Christopher St.
5:00:00 AM,6,22,17,22,23,11,2,8,5,Christopher St.
6:00:00 AM,30,16,9,218,59,47,7,26,5,Christopher St.
7:00:00 AM,87,25,15,456,79,64,15,29,5,Christopher St.
8:00:00 AM,207,40,23,"1,263",150,78,19,73,5,Christopher St.
