Station,Year,Month,Month_Totals,Avg_Weekday,Avg_Saturday,Avg_Sunday,Avg_Holiday
Journal Square,2019,9,"724,999","29,541","16,058","11,932","10,293"
Grove Street,2019,9,"566,317","23,338","12,448","8,701","6,259"
Exchange Place,2019,9,"414,785","18,658","4,948","3,741","3,123"
Pavonia/ Newport,2019,9,"474,542","20,037","8,940","6,552","5,276"
Journal Square,2019,8,"717,286","27,074","15,231","11,373",0
Grove Street,2019,8,"569,712","21,941","11,101","7,876",0
Exchange Place,2019,8,"432,473","17,856","4,998","3,665",0
Pavonia/ Newport,2019,8,"484,498","18,976","8,498","6,134",0
Journal Square,2019,7,"719,345","27,349","14,526","10,782","16,428"
Grove Street,2019,7,"561,961","21,886","9,943","7,338","11,355"
Exchange Place,2019,7,"450,154","18,564","4,480","3,242","10,855"
Pavonia/ Newport,2019,7,"486,191","19,220","8,058","5,917","7,441"
Journal Square,2019,6,"693,158","27,726","15,737","11,990",0
Grove Street,2019,6,"554,437","22,650","11,669","8,618",0
Exchange Place,2019,6,"422,558","18,880","5,173","3,820",0
Pavonia/ Newport,2019,6,"472,214","19,759","8,832","6,575",0
Journal Square,2019,5,"723,636","27,624","15,594","10,386","11,990"
Grove Street,2019,5,"580,760","22,598","11,572","7,462","7,474"
Exchange Place,2019,5,"452,729","18,838","5,172","3,340","4,251"
Pavonia/ Newport,2019,5,"510,395","20,118","9,436","5,935","6,316"
Journal Square,2019,4,"705,668","27,408","15,193","10,480",0
Grove Street,2019,4,"563,030","22,059","11,728","7,705",0
Exchange Place,2019,4,"442,819","18,540","5,151","3,582",0
Pavonia/ Newport,2019,4,"498,149","19,925","9,029","5,918",0
Journal Square,2019,3,"674,841","26,625","13,840","9,305",0
Grove Street,2019,3,"544,810","21,687","11,024","6,854",0
Exchange Place,2019,3,"421,371","18,386","4,306","2,746",0
Pavonia/ Newport,2019,3,"479,235","19,576","8,261","5,366",0
Journal Square,2019,2,"595,158","26,090","12,386","8,972","14,013"
Grove Street,2019,2,"481,789","21,259","10,082","6,988","9,582"
Exchange Place,2019,2,"374,174","18,107","3,576","2,626","5,342"
Pavonia/ Newport,2019,2,"425,200","19,368","7,304","5,262","6,948"
Journal Square,2019,1,"626,190","25,066","11,442","8,337","10,349"
Grove Street,2019,1,"511,577","20,804","8,959","6,250","6,934"
Exchange Place,2019,1,"413,756","18,137","3,446","2,574","4,402"
Pavonia/ Newport,2019,1,"444,452","18,577","6,360","4,657","5,135"
Journal Square,2018,12,"651,427","25,369","15,636","11,193","9,898"
Grove Street,2018,12,"497,592","19,588","12,105","8,088","4,861"
Exchange Place,2018,12,"397,272","16,881","6,456","4,632","4,209"
Pavonia/ Newport,2018,12,"445,572","18,153","9,139","6,296","5,346"
Journal Square,2018,11,"672,352","27,485","14,279","11,007","16,333"
Grove Street,2018,11,"517,927","21,521","10,637","8,090","11,372"
Exchange Place,2018,11,"421,680","18,563","6,036","4,574","8,845"
Pavonia/ Newport,2018,11,"465,569","19,871","7,776","5,887","11,123"
Journal Square,2018,10,"758,384","28,885","13,808","11,211","22,842"
Grove Street,2018,10,"580,812","22,334","9,913","8,162","17,154"
Exchange Place,2018,10,"504,686","19,488","7,510","7,962","14,057"
Pavonia/ Newport,2018,10,"504,677","20,838","6,023","1,425","16,446"
Journal Square,2018,9,"671,516","27,897","15,107","10,971","11,080"
Grove Street,2018,9,"505,500","21,546","10,372","7,601","6,273"
Exchange Place,2018,9,"437,619","18,819","7,820","7,323","4,347"
Pavonia/ Newport,2018,9,"437,765","20,288","6,832","2,471","5,772"
Journal Square,2018,8,"702,091","26,332","13,310","10,801",0
Grove Street,2018,8,"539,621","20,623","8,954","7,370",0
Exchange Place,2018,8,"463,887","17,921","6,890","6,037",0
Pavonia/ Newport,2018,8,"485,763","19,393","6,302","3,628",0
Journal Square,2018,7,"685,891","26,601","14,717","10,691","14,950"
Grove Street,2018,7,"527,616","20,904","10,113","7,451","10,917"
Exchange Place,2018,7,"445,398","18,621","5,297","4,400","11,171"
Pavonia/ Newport,2018,7,"480,595","19,971","7,419","4,801","7,518"
Journal Square,2018,6,"703,894","27,495","15,581","12,148",0
Grove Street,2018,6,"546,464","21,786","11,020","8,465",0
Exchange Place,2018,6,"434,705","18,708","5,219","3,936",0
Pavonia/ Newport,2018,6,"495,978","20,419","8,182","6,566",0
Journal Square,2018,5,"727,120","27,844","14,847","10,805","11,938"
Grove Street,2018,5,"561,808","21,869","10,760","7,630","7,134"
Exchange Place,2018,5,"439,563","18,494","4,178","2,926","4,268"
Pavonia/ Newport,2018,5,"521,048","20,656","8,444","6,587","6,489"
Journal Square,2018,4,"686,000","27,150","15,674","10,631",0
Grove Street,2018,4,"526,836","21,149","11,452","7,378",0
Exchange Place,2018,4,"417,028","17,924","5,494","3,731",0
Pavonia/ Newport,2018,4,"495,853","20,451","8,954","6,115",0
Journal Square,2018,3,"667,419","25,170","14,702","10,042",0
Grove Street,2018,3,"517,599","19,686","11,017","7,355",0
Exchange Place,2018,3,"401,091","16,469","5,084","3,337",0
Pavonia/ Newport,2018,3,"474,557","18,647","8,418","5,559",0
Journal Square,2018,2,"606,739","26,621","12,702","8,944","14,351"
Grove Street,2018,2,"472,340","20,939","9,694","6,544","9,554"
Exchange Place,2018,2,"368,722","17,663","4,127","2,831","5,291"
Pavonia/ Newport,2018,2,"433,921","19,907","7,018","5,056","7,398"
Journal Square,2018,1,"627,460","24,813","12,426","8,618","11,106"
Grove Street,2018,1,"495,241","19,837","9,586","6,431","7,297"
Exchange Place,2018,1,"398,153","17,193","4,181","2,839","4,508"
Pavonia/ Newport,2018,1,"442,453","18,364","6,557","4,730","5,832"
Journal Square,2017,12,"656,407","26,020","13,791","11,512","9,494"
Grove Street,2017,12,"490,504","19,784","10,260","7,834","4,358"
Exchange Place,2017,12,"374,331","16,360","4,910","3,868","3,246"
Pavonia/ Newport,2017,12,"460,277","18,994","8,233","6,875","4,855"
Journal Square,2017,11,"689,343","28,217","14,476","10,344","17,980"
Grove Street,2017,11,"520,209","21,608","10,588","7,640","12,251"
Exchange Place,2017,11,"401,924","18,074","4,676","3,329","8,832"
Pavonia/ Newport,2017,11,"493,190","20,853","8,434","5,963","13,134"
Journal Square,2017,10,"749,618","29,039","16,250","10,617","21,716"
Grove Street,2017,10,"564,636","21,998","11,861","7,859","15,946"
Exchange Place,2017,10,"435,038","18,328","5,086","3,499","12,319"
Pavonia/ Newport,2017,10,"529,547","21,314","9,154","5,767","16,496"
Journal Square,2017,9,"715,314","28,902","15,818","11,342","12,818"
Grove Street,2017,9,"527,539","21,588","11,172","8,178","7,208"
Exchange Place,2017,9,"409,551","18,231","5,105","3,713","4,562"
Pavonia/ Newport,2017,9,"499,090","21,114","8,853","6,382","7,015"
Journal Square,2017,8,"727,303","26,886","15,562","11,672",0
Grove Street,2017,8,"553,033","20,748","10,746","8,214",0
Exchange Place,2017,8,"440,256","17,590","5,020","3,902",0
Pavonia/ Newport,2017,8,"512,582","19,737","8,396","6,262",0
Journal Square,2017,7,"683,362","26,777","15,054","11,586","14,617"
Grove Street,2017,7,"519,449","20,781","10,664","8,272","9,146"
Exchange Place,2017,7,"421,279","18,320","4,996","4,087","9,463"
Pavonia/ Newport,2017,7,"482,306","20,005","8,514","6,482","7,222"
Journal Square,2017,6,"706,093","27,161","15,382","11,757",0
Grove Street,2017,6,"552,929","21,539","11,223","8,542",0
Exchange Place,2017,6,"443,515","18,574","4,911","3,808",0
Pavonia/ Newport,2017,6,"506,061","20,240","8,602","6,593",0
Journal Square,2017,5,"714,917","27,306","14,398","11,642","10,023"
Grove Street,2017,5,"546,086","21,287","10,018","7,912","6,056"
Exchange Place,2017,5,"436,140","18,185","4,372","3,864","3,125"
Pavonia/ Newport,2017,5,"502,106","19,891","7,986","6,804","5,342"
Journal Square,2017,4,"676,530","27,175","15,341","11,264",0
Grove Street,2017,4,"515,089","20,923","11,172","8,153",0
Exchange Place,2017,4,"396,546","17,694","4,830","3,703",0
Pavonia/ Newport,2017,4,"474,570","19,840","8,922","6,633",0
Journal Square,2017,3,"679,710","25,612","13,166","9,493",0
Grove Street,2017,3,"527,818","19,998","10,029","6,935",0
Exchange Place,2017,3,"422,852","17,149","4,096","3,012",0
Pavonia/ Newport,2017,3,"487,730","18,913","7,570","5,612",0
Journal Square,2017,2,"600,963","25,844","14,022","9,746","14,863"
Grove Street,2017,2,"461,370","20,081","10,344","7,130","9,925"
Exchange Place,2017,2,"363,282","17,264","4,306","3,098","5,652"
Pavonia/ Newport,2017,2,"427,870","19,093","8,348","5,857","8,289"
Journal Square,2017,1,"628,253","25,349","12,013","9,501","12,858"
Grove Street,2017,1,"489,797","20,123","9,362","6,639","8,346"
Exchange Place,2017,1,"395,568","17,748","3,839","3,172","4,700"
Pavonia/ Newport,2017,1,"437,094","18,398","6,692","5,672","6,997"
