id,alias,name,is_closed,review_count,rating,price,categories,latitude,longitude,address,city,zipcode,state,country
Mh4ZWZMgahAI_1xu-0VXWw,silk-road-cycles-brooklyn,Silk Road Cycles,FALSE,96,5,$$,bikes|bike_repair_maintenance,40.72723,-73.95686,76 Franklin St,Brooklyn,11222,NY,US
jtZZP2PXsg-uIbvH-f6xdA,kween-kargo-bike-shop-brooklyn,Kween Kargo Bike Shop,FALSE,24,5,$,bike_repair_maintenance|bikes,40.729298,-73.959311,79A West St,Brooklyn,11222,NY,US
AWLXZPJbKnh_2vWuFvMbpA,bs-bikes-brooklyn,B's Bikes,FALSE,235,4.5,$$,bikes,40.72277,-73.94835,262 Driggs Ave,Brooklyn,11222,NY,US
#NAME?,brooklyn-machine-works-brooklyn,Brooklyn Machine Works,FALSE,4,3,$$$$,bikes,40.710062,-73.935599,324 Stagg St,Brooklyn,11206,NY,US
W1hh8k2cRCH-RmLBD-twyg,ride-brooklyn-brooklyn-2,Ride Brooklyn,FALSE,66,4,$$,bike_repair_maintenance|bikerentals|bikes,40.720372,-73.96208,50 N 7th St,Brooklyn,11249,NY,US
MZHAHjKlYgp1dnNAqUZi5g,king-kog-brooklyn,King Kog,FALSE,59,4.5,$$,bikes|bike_repair_maintenance,40.7113203,-73.9447886,696 Grand St,Brooklyn,11211,NY,US
EIY9Jt2cJ7ZC4I3ayqYPZw,bicycle-doctor-brooklyn,Bicycle Doctor,FALSE,61,3.5,MISSING,bike_repair_maintenance,40.71488599,-73.96192844,133 Grand St,Brooklyn,11211,NY,US
jO1wMlhXO_dJ6_BKRr87NQ,sun-and-air-brooklyn,SUN AND AIR,FALSE,18,5,$$,bike_repair_maintenance|bikerentals|bikes,40.711529,-73.961587,788 Driggs Ave,Brooklyn,11211,NY,US
qNKBHoUUEJtRLTzgb7z_fw,different-spokes-brooklyn,Different Spokes,FALSE,18,3.5,$$,bikes,40.709868,-73.958058,252 S 4th St,Brooklyn,11211,NY,US
BAQ4xFdC-16_D9HCGyIqhA,vanmoof-brooklyn-brooklyn,VanMoof Brooklyn,FALSE,9,3.5,$$$,bikes,40.7150949,-73.9648114,326 Wythe Ave,Brooklyn,11249,NY,US
LwZpmufObFMm7anNCP1gKA,bike-ahead-brooklyn,Bike Ahead,FALSE,15,2.5,$$$$,bikes|bike_repair_maintenance,40.707188,-73.9547409,386 Broadway,Brooklyn,11211,NY,US
It79qhHFHbxomVJRrrV32g,spokes-and-strings-brooklyn,Spokes & Strings,FALSE,16,2.5,MISSING,bikerentals,40.71201,-73.95743,140 Havemeyer St,Brooklyn,11211,NY,US
pD9piFqDaqSBhYRod3WJ6w,brooklyn-bike-peddler-brooklyn,Brooklyn Bike Peddler,FALSE,43,3.5,$$,bikerentals|bikes|bike_repair_maintenance,40.715931,-73.949386,636 Lorimer St,Brooklyn,11211,NY,US
teu31O88TtokjFdzs_Y5PA,graham-bicycle-discount-center-brooklyn,Graham Bicycle Discount Center,FALSE,19,4,$,bikes,40.70783,-73.9431199,178 Graham Ave,Brooklyn,11206,NY,US
Bh-t1DYazOt_FWTrG1j8ww,bike-works-brooklyn,Bike Works,FALSE,34,4,MISSING,bike_repair_maintenance,40.71084,-73.96735,35 Broadway,Brooklyn,11249,NY,US
qfr5sUE0_tfoLwfVG-EUyQ,propel-electric-bikes-brooklyn,Propel Electric Bikes,FALSE,19,4,$$$,bikes,40.6977406,-73.97118263,134 Flushing Ave,Brooklyn,11205,NY,US
ZBRz5FJMG7-G4wGW2UpHyQ,deluxe-cycles-brooklyn,Deluxe Cycles,FALSE,1,5,MISSING,bike_repair_maintenance|bikes,40.697243,-73.968934,16 Waverly Ave,Brooklyn,11205,NY,US
19o2Oy83HtFt0kOmsSzTpg,bicycle-station-brooklyn,Bicycle Station,FALSE,146,4.5,$,bikes|bike_repair_maintenance,40.696367,-73.972663,171 Park Ave,Brooklyn,11205,NY,US
nbDSFILklgmE5NfQjTGZlg,brooklyn-giro-bike-tours-brooklyn-2,Brooklyn Giro Bike Tours,FALSE,7,4.5,MISSING,biketours,40.704059,-73.981736,160 John St,Brooklyn,11201,NY,US
ljMNjC_1RJGnWv_HuVP1fg,redbeard-bikes-brooklyn,Redbeard Bikes,FALSE,62,4.5,$$,bikes|bike_repair_maintenance,40.70263005,-73.98655858,69 Jay St,Brooklyn,11201,NY,US
